;ds;trend;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat_lower;yhat_upper;trend_lower;trend_upper;yhat
23;12/05/2020;318.471.601.743.461;171.757.523.686.648;171.757.523.686.648;171.757.523.686.648;171.757.523.686.648;171.757.523.686.648;171.757.523.686.648;0;0;0;271.503.312.048.944;697.240.668.856.391;318.471.601.743.461;318.471.601.743.461;490.229.125.430.109
24;13/05/2020;322.875.040.822.536;765.276.072.044.273;765.276.072.044.273;765.276.072.044.273;765.276.072.044.273;765.276.072.044.273;765.276.072.044.273;0;0;0;185.726.301.200.503;608.112.210.497.555;322.875.040.822.536;322.875.040.822.536;399.402.648.026.963
25;14/05/2020;327.278.479.897.524;118.531.878.450.151;118.531.878.450.151;118.531.878.450.151;118.531.878.450.151;118.531.878.450.151;118.531.878.450.151;0;0;0;227.555.869.406.535;666.716.905.324.699;327.278.479.897.524;327.278.479.897.524;445.810.358.347.674
26;15/05/2020;331.681.918.972.511;833.261.306.468.814;833.261.306.468.814;833.261.306.468.814;833.261.306.468.814;833.261.306.468.814;833.261.306.468.814;0;0;0;206.017.987.211.564;623.191.845.219.966;331.681.918.972.511;331.681.918.972.511;415.008.049.619.393
27;16/05/2020;336.085.358.049.375;429.198.828.310.323;429.198.828.310.323;429.198.828.310.323;429.198.828.310.323;429.198.828.310.323;429.198.828.310.323;0;0;0;145.442.164.241.728;590.174.948.464.525;336.085.358.049.375;336.085.358.049.375;379.005.240.880.407
28;17/05/2020;340.488.797.126.238;-21.890.591.670.309;-21.890.591.670.309;-21.890.591.670.309;-21.890.591.670.309;-21.890.591.670.309;-21.890.591.670.309;0;0;0;-107.157.994.485.009;331.023.031.956.869;340.488.797.126.238;340.488.797.126.238;121.582.880.423.148
29;18/05/2020;344.892.236.202.493;-27.415.710.611.788;-27.415.710.611.788;-27.415.710.611.788;-27.415.710.611.788;-27.415.710.611.788;-27.415.710.611.788;0;0;0;-144.063.735.947.297;279.935.903.120.355;344.892.236.202.493;344.892.236.202.493;707.351.300.846.128
30;19/05/2020;349.295.675.278.748;171.757.523.686.711;171.757.523.686.711;171.757.523.686.711;171.757.523.686.711;171.757.523.686.711;171.757.523.686.711;0;0;0;294.402.054.955.309;725.604.549.534.294;349.295.675.278.748;349.295.675.278.748;521.053.198.965.458
31;20/05/2020;353.699.114.355.002;765.276.072.043.737;765.276.072.043.737;765.276.072.043.737;765.276.072.043.737;765.276.072.043.737;765.276.072.043.737;0;0;0;218.639.830.460.982;646.813.232.166.855;353.699.114.355.002;353.699.114.355.002;430.226.721.559.376
32;21/05/2020;358.102.553.424.786;118.531.878.450.065;118.531.878.450.065;118.531.878.450.065;118.531.878.450.065;118.531.878.450.065;118.531.878.450.065;0;0;0;24.204.167.026.007;692.548.325.001.825;358.102.553.424.786;358.102.553.424.786;476.634.431.874.851
