;ds;trend;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat_lower;yhat_upper;trend_lower;trend_upper;yhat
89;17/07/2020;609.068.398.214.532;833.261.306.468.043;833.261.306.468.043;833.261.306.468.043;833.261.306.468.043;833.261.306.468.043;833.261.306.468.043;0;0;0;483.876.815.703.716;908.048.627.607.272;609.066.961.867.635;609.069.963.165.363;692.394.528.861.337
90;18/07/2020;613.471.271.017.362;429.198.828.319.346;429.198.828.319.346;429.198.828.319.346;429.198.828.319.346;429.198.828.319.346;429.198.828.319.346;0;0;0;440.922.957.267.534;861.918.052.694.205;613.469.725.409.172;613.472.985.224.146;656.391.153.849.297
91;19/07/2020;617.874.143.820.193;-218.905.916.702.757;-218.905.916.702.757;-218.905.916.702.757;-218.905.916.702.757;-218.905.916.702.757;-218.905.916.702.757;0;0;0;177.291.329.424.588;608.233.763.011.523;617.872.476.402.598;617.875.981.373.548;398.968.227.117.436
92;20/07/2020;622.277.016.623.023;-274.157.106.116.849;-274.157.106.116.849;-274.157.106.116.849;-274.157.106.116.849;-274.157.106.116.849;-274.157.106.116.849;0;0;0;120.170.695.377.368;578.151.141.889.862;622.275.252.216.094;622.279.056.962.736;348.119.910.506.174
93;21/07/2020;626.679.889.425.854;171.757.523.687.494;171.757.523.687.494;171.757.523.687.494;171.757.523.687.494;171.757.523.687.494;171.757.523.687.494;0;0;0;57.465.076.072.031;10.081.694.412.989;626.677.970.838.075;626.682.065.818.094;798.437.413.113.347
94;22/07/2020;631.082.762.228.684;765.276.072.044.333;765.276.072.044.333;765.276.072.044.333;765.276.072.044.333;765.276.072.044.333;765.276.072.044.333;0;0;0;502.123.546.836.361;92.260.497.007.243;631.080.629.283.686;631.085.026.086.099;707.610.369.433.117
95;23/07/2020;635.485.635.031.514;118.531.878.450.071;118.531.878.450.071;118.531.878.450.071;118.531.878.450.071;118.531.878.450.071;118.531.878.450.071;0;0;0;543.530.991.209.835;964.229.955.170.445;635.483.370.123.702;635.488.011.113.464;754.017.513.481.585
96;24/07/2020;639.888.507.834.345;833.261.306.469.664;833.261.306.469.664;833.261.306.469.664;833.261.306.469.664;833.261.306.469.664;833.261.306.469.664;0;0;0;51.122.848.994.104;934.899.964.290.741;639.886.044.159.636;63.989.102.484.502;723.214.638.481.311
97;25/07/2020;644.291.380.637.175;429.198.828.316.233;429.198.828.316.233;429.198.828.316.233;429.198.828.316.233;429.198.828.316.233;429.198.828.316.233;0;0;0;46.989.809.105.417;883.167.866.694.307;644.288.769.239.446;644.294.081.525.825;687.211.263.468.798
98;26/07/2020;648.694.253.440.005;-218.905.916.702.792;-218.905.916.702.792;-218.905.916.702.792;-218.905.916.702.792;-218.905.916.702.792;-218.905.916.702.792;0;0;0;200.871.146.071.501;646.583.777.487.122;648.691.472.042.407;648.697.227.399.295;429.788.336.737.213
99;27/07/2020;653.097.126.242.836;-274.157.106.117.108;-274.157.106.117.108;-274.157.106.117.108;-274.157.106.117.108;-274.157.106.117.108;-274.157.106.117.108;0;0;0;149.463.872.236.932;596.642.458.699.707;653.094.216.376.816;653.100.219.687.845;378.940.020.125.728
100;28/07/2020;657.499.999.045.666;171.757.523.686.571;171.757.523.686.571;171.757.523.686.571;171.757.523.686.571;171.757.523.686.571;171.757.523.686.571;0;0;0;617.052.058.309.556;103.978.316.597.167;657.496.931.321.135;657.503.222.004.526;829.257.522.732.236
101;29/07/2020;661.902.871.848.496;765.276.072.044.781;765.276.072.044.781;765.276.072.044.781;765.276.072.044.781;765.276.072.044.781;765.276.072.044.781;0;0;0;5.195.343.501.189;942.009.558.462.076;661.899.637.422.241;661.906.233.002.108;738.430.479.052.974
102;30/07/2020;666.305.744.651.327;118.531.878.450.313;118.531.878.450.313;118.531.878.450.313;118.531.878.450.313;118.531.878.450.313;118.531.878.450.313;0;0;0;568.757.743.694.867;100.226.822.368.839;666.302.341.549.087;666.309.308.050.791;78.483.762.310.164
103;31/07/2020;670.708.617.454.157;833.261.306.471.285;833.261.306.471.285;833.261.306.471.285;833.261.306.471.285;833.261.306.471.285;833.261.306.471.285;0;0;0;547.781.138.518.989;982.926.749.051.791;670.705.084.771.009;670.712.330.027.984;754.034.748.101.285
